Star Number,RA (Decimal Degrees),DEC (Decimal Degrees)
1,312.783286050927,-9.161640043444024
2,133.8739702936594,70.74582120424375
3,75.2069100306952,-20.560199941628753
4,253.87763276642175,-61.96277470247708
5,133.78851371574768,-34.79689838776762
6,266.4068794184726,33.27083659726857
7,13.792878954809801,-52.69312835355584
8,100.79534162015882,-21.18379382025209
9,232.28874373703695,21.715021720668773
10,175.98946417859867,-32.350079803856566
11,122.02836342803721,54.926563321479904
12,48.343170191358965,79.72852835354516
13,347.954889874262,-1.6634354759055014
14,192.49292203603855,30.58405978164504
15,241.37418289349705,33.69378330600962
16,156.72878984989427,49.44228298395467
17,28.580641091055945,81.72506505677856
18,28.39856812505447,60.991457827301616
19,145.6313883470175,-68.84742769168444
20,204.76297475988343,43.85245299422735
21,301.9564276467937,44.37227129276545
22,97.7485247420164,79.6359735290495
23,305.2793973606699,62.310572408037416
24,12.94613963524065,-36.575694423861734
25,48.540670967781104,71.30751908292106
26,190.22252412126824,5.117104342919234
27,44.08798590526176,-87.44378954039323
28,282.68406002572397,-44.54380899938043
29,151.28749746599695,-74.55400976113943
30,314.1891375740837,52.10169572861858
31,76.50351016820467,-38.193203287904
32,241.291763779888,58.84308712822275
33,77.62873806474732,79.90812962407384
34,326.0225661023592,-67.07174549111511
35,156.6823228959226,3.0088691590471797
36,53.27798080486643,62.936259318629055
37,177.65321268101806,72.70283681349358
38,153.36610437102513,49.25299208075623
39,12.866696290559805,-89.31424450299127
40,151.50097982106263,6.553858974896059
41,240.49863150239864,-71.89253230863493
42,326.30707504438925,52.82664693502622
43,161.20778925650555,53.501054088198714
44,310.42828169802084,-56.74806267736672
45,116.58540413622835,85.61779828360088
46,315.10825000854055,2.7483173930807965
47,1.1285975336673415,29.89526264804934
48,79.0600696764885,2.0772302417463493
49,277.6605987275247,-83.54348021434794
50,215.2224561083824,37.62363632040966
51,260.36881707620216,-70.62794150447563
52,265.92475628143063,-46.852984196565686
53,65.7686051412787,26.606885574062446
54,121.7770113624942,9.552565259160787
55,155.79435625024325,39.32751370026824
56,124.31215751774809,26.846819050115386
57,153.4432415522432,62.16210718557227
58,62.48069647125863,-30.515635394659455
59,36.22667748607072,-70.49409123596065
60,69.19171057313122,-47.75483220763646
61,276.6672304335221,-40.52318674982693
62,29.991746700941114,-36.927036859783314
63,75.96174256059872,88.27251075081122
64,343.6474110749567,-28.46442191846677
65,54.97640043829253,55.545698393563185
66,114.62759163852715,19.701396073886897
67,347.3835803844971,23.915438859467145
68,15.224888642433733,5.551516549032328
69,314.34091866508584,-69.57472071214724
70,76.852942201969,2.1156829911541593
71,342.03968223147257,9.686975307052649
72,47.22805291444939,-21.3089233159277
73,352.4930451213285,70.87867476376366
74,178.96083617339386,74.84359167307903
75,99.93156546268543,-57.75662084159427
76,101.31080908029004,84.01993094475753
77,50.05649429897434,-87.34815010006861
78,31.806570783721703,-47.02057817347274
79,71.3556409839358,-81.57221882095187
80,336.84746534780817,28.00246266201971
81,326.9121962850872,49.43448689513659
82,104.83224165571208,-56.455081199954805
83,6.434334581958843,-25.800876389071902
84,18.526739897251613,74.03942653057626
85,206.13851875786096,-32.93171435486087
86,144.2627408283491,84.11084481545035
87,314.55888864306513,-73.1977130821341
88,104.86474964372402,-84.12842493585664
89,44.20105406838489,59.7045747583754
90,337.178357777382,-30.98017789039607
91,295.90494279505657,22.313518770871198
92,141.24319284023764,-6.434404130418713
93,48.828559029542554,82.98671365196392
94,315.7178343854039,-57.66184711321716
95,39.71918489064405,81.47999499688291
96,273.2459497337204,-18.148982590191338
97,40.24434668580332,-21.56434628207475
98,304.3975245069863,-5.4958339014425235
99,38.57763888962705,-7.176225973420898
100,291.5090306160404,-59.31264372573657
101,76.73658066425364,79.98572530318697
102,141.54584916782184,-30.131560432301136
103,321.51107486728336,-15.002723103509197
104,72.35427753277439,82.65139019405663
105,210.4347097044436,73.43744018272363
106,132.17262475099696,-44.13276895021183
107,290.543534939646,10.985760684346715
108,17.872816361966322,8.3352385845524
109,119.56882776601,79.39603629159407
110,143.49619064780177,8.906760203428234
111,339.5551894245467,26.389389953843008
112,312.11865820695425,48.28480863425864
113,315.38748630449203,-58.513272376752454
114,355.5596931300528,82.87999850340105
115,29.084973416061842,78.32195032475818
116,159.23326727829885,73.55214316566526
117,326.0979657207063,77.9385413174069
118,244.58592683406786,-75.66634233005229
119,101.3072578664468,-80.81477405925554
120,56.06955975282854,-88.36373907537609
121,164.98176135323388,-18.081645028686523
122,327.4916806376471,5.051439282924335
123,139.15641232856098,-60.713370438335744
124,330.5767265295484,38.25364144556988
125,349.5129686692678,66.68257217499985
126,309.9611760522903,18.248206673930838
127,191.97884703225898,-76.85571192432727
128,271.7832152913947,14.111969311725261
129,67.20749072521414,-32.14009850200268
130,39.37561586697158,-45.95893466652667
131,41.62662185093219,-66.44865228166938
132,238.82135796526245,22.862463296644336
133,320.5627253681498,82.41761271861344
134,227.93541378824483,-43.58022075934933
135,193.7423091131646,4.289817805482556
136,100.38150111515435,46.557871530123094
137,95.7041727507131,-76.50265450013156
138,87.8714809887956,-64.49161947824643
139,357.8579397216666,-45.606324300708124
140,195.27095198639475,6.107418735710482
141,104.72649938650609,76.56145564852534
142,259.31106499060576,44.00894488021078
143,266.81530064509656,-43.0147245740457
144,6.906355455742479,17.80430378992635
145,225.58716973907065,-21.765257603100153
146,100.54747636911475,-41.852532061167764
147,244.29674893873243,39.23913249743998
148,191.29071567054433,-53.168634974607684
149,43.95630385268745,42.83718543098655
150,289.7198319236253,-42.42277434458193
151,131.5532123086986,16.906945225301598
152,278.6021863750639,62.12366034523083
153,167.05367582244727,-18.285195718054453
154,174.16128863455833,54.29509293964193
155,267.4558065372069,-89.61827295179354
156,164.8748959128928,80.03390319401191
157,329.81545256967684,20.282136996191014
158,101.5294139184922,-53.67604859435178
159,277.94529380357096,-76.26709514421505
160,167.52570047008547,-22.504620347530732
161,129.81931382960198,-82.25437725507354
162,102.64822293312797,-47.054312673475415
163,106.35261490412503,68.07898761765861
164,51.48014254318734,56.24793181390055
165,325.7946895555515,43.478374363797286
166,85.15056599524355,-58.93139753743553
167,260.5626395700654,-1.8166055088407376
168,172.26769150998678,-48.47368669911932
169,26.840598535795863,-3.511003695567368
170,131.9612121821502,42.70074078275121
171,146.14649963865412,41.65395856884717
172,294.2520527132902,-15.402602906859187
173,180.8371108600784,-27.20745247780558
174,216.7802292312895,-38.768941024945946
175,207.54004482486528,-6.4404845116877
176,213.728370239536,24.64609812117152
177,125.02819970420363,47.05302369516707
178,185.44663150422738,19.471484937234763
179,68.1651313081663,14.73679862894879
180,359.18646378754323,8.118483499340968
181,352.8891961953998,32.57118053151393
182,322.3731875647784,64.0220080550178
183,311.5360254755539,-53.664312855048856
184,303.54626732873754,-72.76462424890624
185,40.61598562052608,-77.68227844741
186,215.49845593657028,-15.070300636337947
187,298.6627042739618,-33.63675759055864
188,77.52674167307752,35.35823981259037
189,312.52643027892566,-27.519264778574794
190,194.36606772528359,0.16319883596274565
191,194.45315302564177,76.35390056478488
192,288.45956824168434,-59.20811248879299
193,15.87976082640063,-79.19036050448297
194,287.5772979304871,2.910488700704363
195,285.29158032264377,4.05159122153988
196,84.68893279354621,-15.230085058404015
197,315.25162845964155,67.70137166047732
198,236.56998802722237,-41.17872557546689
199,326.45070512657713,36.17084279750773
200,244.2981959396977,-59.450794441048565
